category	offset_hex	length	text
security_misc	0xc0	48	MPC2500 Boot    Version=1.01    21-DEC-2005     
security_misc	0x7c70	12	MPC2500 TEST
update_flash	0x7c9c	32	====== MPC2500 OS UPDATE =======
update_flash	0x7cf8	27	    Loading OS file .......
update_flash	0x7d14	25	  OS file not found !!   
storage_filesystem	0x7d38	25	 Insert memory card !!   
storage_filesystem	0x7ea3	28	      No memory card !!     
storage_filesystem	0x7f51	28	       Disk is full!!       
update_flash	0x7fa8	28	    File write error !!     
storage_filesystem	0x7fe2	28	      USB<===>MPC2500 !!    
sequencer_song	0x8056	28	     End of sequence !!     
sequencer_song	0x8073	28	    Sequence is unused !!   
sequencer_song	0x8090	28	  Too many bars! (999max)   
update_flash	0x80ca	28	   Flash ROM erase error!!  
update_flash	0x80e7	28	   Flash ROM write error!!  
update_flash	0x8104	28	   Flash ROM read  error!!  
midi_program	0x8121	28	    Program name exist!!    
sampling_audio	0x813e	28	     Sample name exist!!    
sampling_audio	0x815b	28	     No sample wave !!      
sampling_audio	0x81cf	28	     ChopShop sample !!     
update_flash	0x94a0	22	Flash ROM erasing    %
update_flash	0x94b8	22	Flash ROM Writing    %
security_misc	0x10000	48	MPC2500         Version=1.24   30-July-2008     
sequencer_song	0x3f2c2	7	lBAr#gn
sequencer_song	0x4ed8f	5	BAr.g
sequencer_song	0x50ea8	7	lBAr#gn
sequencer_song	0x53fa2	7	lBAr#gv
storage_filesystem	0x82c08	6	USBC0\
storage_filesystem	0x82eb4	7	USBS@*\
sequencer_song	0xa5e44	4	song
midi_program	0xa60c8	4	midi
storage_filesystem	0xae708	8	AUTOLOAD
sequencer_song	0xae80c	8	Sequence
sequencer_song	0xae828	4	Song
sequencer_song	0xae840	7	Track01
midi_program	0xaeacc	26	Waiting for MIDI time code
midi_program	0xaeae8	23	Waiting for MIDI 'Play'
sequencer_song	0xaeb20	11	TRACK DATA:
legacy_compatibility	0xaeb3c	9	MPC2000XL
sequencer_song	0xaeb84	14	ALL_SEQS&SONGS
midi_program	0xaec40	9	Program01
midi_program	0xaec4c	7	Program
sampling_audio	0xaef3c	6	RECORD
sampling_audio	0xaef44	12	Recording...
sequencer_song	0xaefc0	5	Bars:
midi_program	0xaf000	5	Midi:
sequencer_song	0xaf008	14	Program Change
sequencer_song	0xaf040	24	Transmit program changes
sequencer_song	0xaf05c	14	in this track:
sequencer_song	0xaf06c	16	Track Mute Event
sequencer_song	0xaf080	22	Use track mute events:
storage_filesystem	0xaf298	19	Access to:HARD DISK
storage_filesystem	0xaf2ac	21	Access to:MEMORY CARD
storage_filesystem	0xaf2e8	33	disk on your Mac,before you leave
storage_filesystem	0xaf320	11	Change Disk
storage_filesystem	0xaf32c	21	Access to:HARD DISK  
sequencer_song	0xaf3ac	28	Type:SAVE ALL SEQS AND SONGS
midi_program	0xaf3d8	32	Type:SAVE ALL PROGRAMS & SAMPLES
sequencer_song	0xaf408	24	This will erase sequence
sequencer_song	0xaf454	23	SEQUENCES DATA IN FLASH
midi_program	0xaf49c	20	programs and samples
midi_program	0xaf4d8	22	ALL PROGRAMS & SAMPLES
sampling_audio	0xaf518	18	Type:SAVE A SAMPLE
midi_program	0xaf538	19	Type:SAVE A PROGRAM
sequencer_song	0xaf550	20	Type:SAVE A SEQUENCE
sequencer_song	0xaf610	11	blank bars.
sequencer_song	0xaf628	14	selected bars!
sequencer_song	0xaf640	4	BARS
sequencer_song	0xaf674	10	First bar:
sequencer_song	0xaf680	10	After bar:
sequencer_song	0xaf68c	9	Last bar:
sequencer_song	0xaf6b4	15	Number of bars:
midi_program	0xaf6e8	10	NOTES     
sequencer_song	0xaf768	10	TEMPO     
sequencer_song	0xaf788	10	TRACK MUTE
sequencer_song	0xaf824	5	TRACK
sequencer_song	0xaf92c	14	PROGRAM CHANGE
sequencer_song	0xaf998	6	TRACK:
sequencer_song	0xaf9a8	25	---- End of sequence ----
midi_program	0xafa34	6	Notes:
sequencer_song	0xafa4c	4	BARS
sequencer_song	0xafacc	19	(Except drum track)
sequencer_song	0xafafc	4	BARS
sampling_audio	0xafb38	11	SAMPLE LIST
sampling_audio	0xafbe5	4	MONO
sampling_audio	0xafbf1	4	MONO
sampling_audio	0xafc64	6	SAMPLE
midi_program	0xafc7c	4	NOTE
midi_program	0xafd48	24	Reset all note assign to
sampling_audio	0xafd84	13	Purge Samples
sampling_audio	0xafdb0	23	all samples not used in
midi_program	0xafdc8	23	any programs in memory.
sampling_audio	0xafde0	20	    samples not used
sampling_audio	0xafe4c	15	Pad Sample Edit
sequencer_song	0xafe5c	5	TEMPO
sequencer_song	0xafe80	15	Original tempo:
sampling_audio	0xafecc	27	  KEEP:Keeps as new sample.
sampling_audio	0xaff24	11	New sample:
midi_program	0xaff30	4	MIDI
midi_program	0xaff40	4	NOTE
sequencer_song	0xaff48	29	Active track receive channel:
sequencer_song	0xaff78	34	Sequence change by program change:
midi_program	0xb005c	24	Reset all note assign to
sequencer_song	0xb00a0	8	Sequence
sequencer_song	0xb00b4	5	Tempo
sequencer_song	0xb00bc	4	Bars
sequencer_song	0xb00fc	5	Song:
sequencer_song	0xb0104	13	(end of song)
sampling_audio	0xb014c	5	MONO 
sampling_audio	0xb018c	11	Sample Edit
sampling_audio	0xb01fc	11	New sample:
sequencer_song	0xb02ac	5	TEMPO
sequencer_song	0xb02c0	15	Original tempo:
sequencer_song	0xb02e8	12	Detect Tempo
sequencer_song	0xb0314	25	sample tempo and enter to
sequencer_song	0xb0330	19	current tempo find.
sampling_audio	0xb0354	27	  KEEP:Keeps as new sample.
sampling_audio	0xb03ac	19	Patched Phrase Edit
sampling_audio	0xb03c8	26	Re-build patched phrase as
sampling_audio	0xb03e4	14	normal sample.
sequencer_song	0xb03fc	6	Tempo:
sequencer_song	0xb0414	27	tempo %d last beat %d : %ld
sampling_audio	0xb04c8	19	Record mix changes:
sequencer_song	0xb0574	26	<<STEP>> <<BAR>> STOP PLAY
sequencer_song	0xb0590	6	Track=
sampling_audio	0xb05cc	6	RECORD
sampling_audio	0xb0600	11	Recording..
sampling_audio	0xb061c	8	ANALOG  
sampling_audio	0xb0628	8	DIGITAL 
sequencer_song	0xb0674	6	Track:
sampling_audio	0xb067c	13	Sample Memory
sampling_audio	0xb070c	13	Record event:
sampling_audio	0xb071c	8	Sample01
storage_filesystem	0xb0728	24	      Disk not ready    
midi_program	0xb080c	9	NOTE ON  
